,index,area of operation,country_aor
8,al-Qaida in the Islamic Maghreb (AQIM),has historically operated in the coastal areas of northern Algeria and in Libya and Tunisia but counterterrorism efforts have forced it largely into the Sahel region including Mali has claimed attacks in Algeria Burkina Faso Cote d'Ivoire and Mali,MLI
8,al-Qaida in the Islamic Maghreb (AQIM),has historically operated in the coastal areas of northern Algeria and in Libya and Tunisia but counterterrorism efforts have forced it largely into the Sahel region including Mali has claimed attacks in Algeria Burkina Faso Cote d'Ivoire and Mali,TUN
9,al-Shabaab (AS),primarily Somalia has also conducted operations in Ethiopia Kenya and Uganda  ,ETH
9,al-Shabaab (AS),primarily Somalia has also conducted operations in Ethiopia Kenya and Uganda  ,KEN
9,al-Shabaab (AS),primarily Somalia has also conducted operations in Ethiopia Kenya and Uganda  ,SOM
9,al-Shabaab (AS),primarily Somalia has also conducted operations in Ethiopia Kenya and Uganda  ,UGA
10,Ansar al-Dine (AAD),Mali,MLI
11,Ansar al-Islam (AAI),Iraq and Syria,IRQ
11,Ansar al-Islam (AAI),Iraq and Syria,SYR
12,Ansar al-Shari'a groups in Libya (ASL),operated mostly in eastern Libya particularly Benghazi and Darnah,LBY
13,Ansar al-Shari'a in Tunisia (AAS-T),headquartered in Tunisia has also operated in Libya,LBY
13,Ansar al-Shari'a in Tunisia (AAS-T),headquartered in Tunisia has also operated in Libya,TUN
14,Army of Islam (AOI),Egypt Gaza Israel,EGY
14,Army of Islam (AOI),Egypt Gaza Israel,ISR
14,Army of Islam (AOI),Egypt Gaza Israel,PSE
15,Asa’ib Ahl al-Haqq (AAH),based in Iraq sent fighters to Syria during that country's civil wartargets tactics and weapons  targets foreign military forces US interests ISIS and Sunni Muslims from 2006 to 2011 claimed to have conducted more than 6000 attacks against US and Coalition forces carries out abductions executions and targeted killings of Sunni Muslims has killed civilian protesters and used mass gatherings to protest domestic and international political decisions fought as a paramilitary/irregular force in Syria and alongside the Iraqi military armed with a variety of weapons including small arms machine guns rocket propelled grenades mortars rockets artillery armed unmanned aerial vehicles/drones improvised explosive devices and armored vehicles,IRQ
15,Asa’ib Ahl al-Haqq (AAH),based in Iraq sent fighters to Syria during that country's civil wartargets tactics and weapons  targets foreign military forces US interests ISIS and Sunni Muslims from 2006 to 2011 claimed to have conducted more than 6000 attacks against US and Coalition forces carries out abductions executions and targeted killings of Sunni Muslims has killed civilian protesters and used mass gatherings to protest domestic and international political decisions fought as a paramilitary/irregular force in Syria and alongside the Iraqi military armed with a variety of weapons including small arms machine guns rocket propelled grenades mortars rockets artillery armed unmanned aerial vehicles/drones improvised explosive devices and armored vehicles,SYR
15,Asa’ib Ahl al-Haqq (AAH),based in Iraq sent fighters to Syria during that country's civil wartargets tactics and weapons  targets foreign military forces US interests ISIS and Sunni Muslims from 2006 to 2011 claimed to have conducted more than 6000 attacks against US and Coalition forces carries out abductions executions and targeted killings of Sunni Muslims has killed civilian protesters and used mass gatherings to protest domestic and international political decisions fought as a paramilitary/irregular force in Syria and alongside the Iraqi military armed with a variety of weapons including small arms machine guns rocket propelled grenades mortars rockets artillery armed unmanned aerial vehicles/drones improvised explosive devices and armored vehicles,USA
16,Asbat al-Ansar (AAA),primary base of operations is the Ayn al Hilwah Palestinian refugee camp near Sidon in southern Lebanon,LBN
16,Asbat al-Ansar (AAA),primary base of operations is the Ayn al Hilwah Palestinian refugee camp near Sidon in southern Lebanon,PSE
17,Boko Haram (BH),primarily Nigeria but also Cameroon Chad and Niger,CMR
17,Boko Haram (BH),primarily Nigeria but also Cameroon Chad and Niger,NER
17,Boko Haram (BH),primarily Nigeria but also Cameroon Chad and Niger,NGA
17,Boko Haram (BH),primarily Nigeria but also Cameroon Chad and Niger,TCD
18,Communist Party of the Philippines/New People's Army (CPP/NPA),the Philippines in 2023 the CPP claimed its armed wing was present in about 70 of the country’s 82 provinces however its operations and clashes with government forces were occurring in only a few rural areas including northern Mindanao southern Luzon and parts of the Visayas some of the group’s leaders including its negotiating panel live in exile in the Netherlands ,NLD
18,Communist Party of the Philippines/New People's Army (CPP/NPA),the Philippines in 2023 the CPP claimed its armed wing was present in about 70 of the country’s 82 provinces however its operations and clashes with government forces were occurring in only a few rural areas including northern Mindanao southern Luzon and parts of the Visayas some of the group’s leaders including its negotiating panel live in exile in the Netherlands ,PHL
19,Continuity Irish Republican Army (CIRA),UK and Republic of Ireland,GBR
19,Continuity Irish Republican Army (CIRA),UK and Republic of Ireland,IRL
20,Gulf Cartel,areas along the northeastern part of the US Mexico border particularly Tamaulipas state,MEX
20,Gulf Cartel,areas along the northeastern part of the US Mexico border particularly Tamaulipas state,USA
21,HAMAS,has controlled Gaza since 2007 and has a presence in the West Bank also has a presence in the Palestinian refugee camps in Lebanon and key regional capitals such as Doha Qatar and Cairo,LBN
21,HAMAS,has controlled Gaza since 2007 and has a presence in the West Bank also has a presence in the Palestinian refugee camps in Lebanon and key regional capitals such as Doha Qatar and Cairo,PSE
21,HAMAS,has controlled Gaza since 2007 and has a presence in the West Bank also has a presence in the Palestinian refugee camps in Lebanon and key regional capitals such as Doha Qatar and Cairo,QAT
22,Haqqani Network (HQN),Afghanistan,AFG
23,Harakat Sawa'd Misr (HASM),Egypt some leaders in Turkey,EGY
23,Harakat Sawa'd Misr (HASM),Egypt some leaders in Turkey,TUR
24,Harakat ul-Jihad-i-Islami (HUJI),Afghanistan India and Pakistan,AFG
24,Harakat ul-Jihad-i-Islami (HUJI),Afghanistan India and Pakistan,IND
24,Harakat ul-Jihad-i-Islami (HUJI),Afghanistan India and Pakistan,PAK
25,Harakat ul-Jihad-i-Islami/Bangladesh (HUJI-B),Bangladesh and India,BGD
25,Harakat ul-Jihad-i-Islami/Bangladesh (HUJI-B),Bangladesh and India,IND
26,Harakat ul-Mujahidin (HUM),operates primarily in Afghanistan and in the Indian state of Jammu and Kashmir also operates in Muzaffarabad in Pakistan administered Azad Kashmir and in other cities in Pakistan,AFG
26,Harakat ul-Mujahidin (HUM),operates primarily in Afghanistan and in the Indian state of Jammu and Kashmir also operates in Muzaffarabad in Pakistan administered Azad Kashmir and in other cities in Pakistan,IND
26,Harakat ul-Mujahidin (HUM),operates primarily in Afghanistan and in the Indian state of Jammu and Kashmir also operates in Muzaffarabad in Pakistan administered Azad Kashmir and in other cities in Pakistan,PAK
27,Hay'at Tahrir al-Sham (HTS)/al-Nusrah Front (ANF),Syria,SYR
28,Hizballah,Lebanon Syria operatives and financiers have been arrested or detained in Africa Asia Europe the Middle East South America and North America ,LBN
28,Hizballah,Lebanon Syria operatives and financiers have been arrested or detained in Africa Asia Europe the Middle East South America and North America ,SYR
29,Hizbul Mujahideen (HM),headquartered in Pakistan but conducts operations primarily in India particularly the Indian Union Territory of Jammu and Kashmir,IND
29,Hizbul Mujahideen (HM),headquartered in Pakistan but conducts operations primarily in India particularly the Indian Union Territory of Jammu and Kashmir,PAK
30,Hurras al-Din,mostly in the Syrian provinces of Idlib and Latakia with a small presence in Dara’a,SYR
31,Indian Mujahedeen (IM),India,IND
32,Islamic Jihad Union (IJU),Afghanistan Syria Türkiye Uzbekistan and Europe ,AFG
32,Islamic Jihad Union (IJU),Afghanistan Syria Türkiye Uzbekistan and Europe ,SYR
32,Islamic Jihad Union (IJU),Afghanistan Syria Türkiye Uzbekistan and Europe ,TUR
32,Islamic Jihad Union (IJU),Afghanistan Syria Türkiye Uzbekistan and Europe ,UZB
33,Islamic Movement of Uzbekistan (IMU),Afghanistan Pakistan Syria Türkiye and Central Asia,AFG
33,Islamic Movement of Uzbekistan (IMU),Afghanistan Pakistan Syria Türkiye and Central Asia,PAK
33,Islamic Movement of Uzbekistan (IMU),Afghanistan Pakistan Syria Türkiye and Central Asia,SYR
33,Islamic Movement of Uzbekistan (IMU),Afghanistan Pakistan Syria Türkiye and Central Asia,TUR
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,AFG
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,ALB
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,BEL
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,BGR
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,BHR
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,BIH
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,DEU
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,DNK
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,FRA
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,IRN
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,IRQ
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,KEN
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,LBN
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,PSE
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,SYR
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,TUR
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,USA
34,Islamic Revolutionary Guard Corps (IRGC)/Qods Force,headquartered in Tehran active throughout Iran and the Middle East region as well as Afghanistan Gaza Iraq Lebanon Syria and Yemen has a worldwide capability to commit attacks if Iranian leadership deems it appropriate in recent years Qods Force planning for terror attacks has been uncovered and disrupted in a number of countries worldwide including Albania Bahrain Belgium Bosnia Bulgaria Denmark France Germany Kenya Turkey and the US,YEM
35,Islamic State of Iraq and ash-Sham – Democratic Republic of the Congo (ISIS-DRC),DRC primarily in the Nord Kivu and Ituri provinces also active in Uganda has emerged as a regional conduit for facilitating funds transfers to ISIS cells in East Africa,COD
35,Islamic State of Iraq and ash-Sham – Democratic Republic of the Congo (ISIS-DRC),DRC primarily in the Nord Kivu and Ituri provinces also active in Uganda has emerged as a regional conduit for facilitating funds transfers to ISIS cells in East Africa,UGA
36,Islamic State of Iraq and ash-Sham - East Asia (ISIS-EA) in the Philippines,southern Philippines,PHL
37,Islamic State of Iraq and ash-Sham – Mozambique (ISIS-M),northern Mozambique primarily Cabo Delgado province has conducted cross border attacks in Tanzania,MOZ
37,Islamic State of Iraq and ash-Sham – Mozambique (ISIS-M),northern Mozambique primarily Cabo Delgado province has conducted cross border attacks in Tanzania,TZA
38,Islamic State of Iraq and ash-Sham - Sinai Province (ISIS-SP),Egypt,EGY
39,Islamic State of Iraq and ash-Sham - West Africa (ISIS-WA),Nigeria primarily Borno and Yobe States and the greater Lake Chad region including the Diffa Region of Niger the Far North Region in Cameroon and areas of Chad near Lake Chad,CMR
39,Islamic State of Iraq and ash-Sham - West Africa (ISIS-WA),Nigeria primarily Borno and Yobe States and the greater Lake Chad region including the Diffa Region of Niger the Far North Region in Cameroon and areas of Chad near Lake Chad,NER
39,Islamic State of Iraq and ash-Sham - West Africa (ISIS-WA),Nigeria primarily Borno and Yobe States and the greater Lake Chad region including the Diffa Region of Niger the Far North Region in Cameroon and areas of Chad near Lake Chad,NGA
39,Islamic State of Iraq and ash-Sham - West Africa (ISIS-WA),Nigeria primarily Borno and Yobe States and the greater Lake Chad region including the Diffa Region of Niger the Far North Region in Cameroon and areas of Chad near Lake Chad,TCD
40,Islamic State of Iraq and ash-Sham in Bangladesh (ISB),operates in major cities throughout Bangladesh ,BGD
41,Islamic State of Iraq and ash-Sham in Libya (ISIS-L),Libya has some mobile desert camps in rural central and southern Libya and is assessed to retain an undetermined number of dormant cells in some coastal cities,LBY
42,Islamic State of Iraq and ash-Sham in the Greater Sahara (ISIS-GS),Burkina Faso Mali Niger and to a lesser extent Benin,BEN
42,Islamic State of Iraq and ash-Sham in the Greater Sahara (ISIS-GS),Burkina Faso Mali Niger and to a lesser extent Benin,BFA
42,Islamic State of Iraq and ash-Sham in the Greater Sahara (ISIS-GS),Burkina Faso Mali Niger and to a lesser extent Benin,MLI
42,Islamic State of Iraq and ash-Sham in the Greater Sahara (ISIS-GS),Burkina Faso Mali Niger and to a lesser extent Benin,NER
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,AFG
43,Islamic State of Iraq and ash-Sham (ISIS),ISIS Core operations remain predominately in Iraq and Syria ISIS has about 20 external branches networks or wilayat provinces governorates in more than 20 countries: Algeria Azerbaijan Bangladesh the Caucasus Russia Central Africa the Democratic Republic of the Congo Mozambique East Asia Philippines Indonesia Greater Sahara tri border area of Burkina Faso Mali Niger India Libya Khorasan Afghanistan Pakistan Palestine Israel the Sahel Mali Sinai Peninsula Egypt Saudi Arabia Somalia Tunisia Turkey West Africa northeastern Nigeria southeastern Niger northern Cameroon areas of Chad around Lake Chad and Yemen local terrorist groups in other countries such as Lebanon and Sudan have pledged allegiance to ISIS has supporters sympathizers and associates worldwide and has inspired or conducted attacks in Australia Belgium France Germany Iran Maldives Russia Spain Sri Lanka Sweden Tajikistan Turkey the UK and the US authorities in other countries including but not exclusive to Austria Brazil Bulgaria Canada Greece Israel Italy Jordan Lebanon Malaysia and the Netherlands have arrested ISIS members or supporters or disrupted plots linked to ISIS maintains a strong online presence and continuously calls for attacks against Western countries and their interests around the world individuals inspired by its ideology may conduct operations without direction from the ISIS’s central leadership,AUS
